TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,
"Yeah, so we do teams based on brands. If it's brand direct or agency, they would get two different teams. So Kraft uses Starcom as their agency. So there would be a Kraft Starcom team. But then we also sell banner Ads through Kraft Direct. So there would be just a regular Kraft team and that it's associated with who's being billed.",Brands, Agencies, Kraft (Heinz/Kraft), UPC or Identifier, Billing,,,,,,,,,,,,,
"Additionally, if we move from managed service to self-service or self-service to manage service, we would create a new team because we have the naming conventions as self-serve brands so that we can easily separate the data sets when needed.",Managed service, Self-serve, UPC or Identifier, Data, Routine activity,,,,,,,,,,,,,
"Well, if someone leaves we just submit a ticket [in PIO] and their user is deactivated because it's so manual to have to go back and 'X' these people out [in AdManager]. We had like Christian from two years ago is still in a lot of these [Kraft] teams. We don't really have good user interfaces here [in AdManager]. So like this team in particular is 119 people with another 19 pending. And that's due to, there's a lot of people in the Kraft team, there's a lot of people who, like as operations, we need to be able to go into any team and see what's going on and be able to talk to it. And the only way to do that is to.",Placements IO, Manual effort, Kraft (Heinz/Kraft), AdManager, UI, Limitation, Managed service, Access,,,,,,,,,,
For just for our API partners or are saying partners like brands.,API, Partners,,,,,,,,,,,,,,,,
"So if a brand is working with Pacvue directly, meaning they are paying a contract to work with their UI and we are not connecting them to utilise their tools, we have to create the team for them. Our API partners are not able to create teams or wallets [within AdManager]. So often what you'll see is that our offshore teams like SEBPO or internal Ad Op's members will create the team, create the wallets, and then we'll have to invite all the users to that team. And then there are some scenarios where if a partner had previously been running a campaign, or they've previously been running a program where they had a bunch of campaigns, they might ask us to duplicate those and then give them Pacvue access. So we might have done that and for them. But otherwise they are able to create campaigns directly from the [partner] API.",Pacvue, Limitation, Partners, Fees or Charges, Brands, API, SEBPO, Manual effort, Campaigns, Contracts, Managed service, Wallets,,,,,,
"So right now we have only contracted to work with Target just for the internal Op's use. We are only with Target and Ahold [Delhaize]. So right now what we'll do is we will go through the same process of connecting a team as any brand would, in order to make sure that API is talking to the AdManager platform. And then from there we can utilise pretty much all of the same tools that the brands can use. I'm not sure if you've ever seen the Pacvue platform. I could share my screen and take you through it if you'd like.",Managed service, Contracts, API, Pacvue, Ahold Delhaize, Manual effort, AdManager, Target, Brands,,,,,,,,,
"So if we received a new brand that we haven't worked with yet, we would have to create that team from the Target UI. So right now our API partners do not have the ability to create teams or wallets. So all of that piece would still be the normal process [for Ad Op's team]. We would create a new team from Target retailer team and create the wallet and then add the funds. Our API partners are also not able to add funds through that connection. So all of that would take place in the AdManager portal. And then we have an intake form that Pacvue requires us to complete in order to make the [API] connection. And then once the team is created, we just need that team ID as the final piece. Complete the intake form and then providing the team ID to Kevin M on our API partners team for AdManager. And then usually takes like 48 to 72 hours for a new team to be visible in the Pacvue platform. Then once the team is visible from the drop down [menu in Pacvue], we can search any team. One thing that we have noticed with Pacvue, essentially is that, if we are utilising the platform for multiple retailers like Target and Ahold [Delhaize] - we used to use it for Albertsons - we have to just rename the team to call that out [i.e. reflect different retailers in  the team names]. Otherwise, if we're working with Energizer across multiple retailer platforms, we won't be able to tell that from Pacvue because we don't have a way to filter by different retailers. So we would rename the team to call out the retailer that particular campaigns are tied to. Another thing that is a bit of a limitation with the Pacvue platform is that they don't have wallets, so something that we have to do to kind of group campaigns together, to make sure that anything that we set up applies to the campaigns that utilising the same wallet, is create campaign tags. So that's usually something that we do inside each individual team, [in Pacvue] we'll create a [campaign] tag that matches the wallet name, and then we'll have to tag all of the campaigns that are pulling from that wallet so that if we're creating reports or automation specific to that wallet we'ill have to use the campaign tag.",Brands, Target, Albertsons, Ahold Delhaize, Retailers, Managed service, Campaigns, Pacvue, On-boarding, Partners, Business norm, Wallets, UPC or Identifier, API, Manual effort, AdManager, Limitation, Tagging
"Yes. So it is all customisable [in Pacvue]. They have three different tagging options [in Pacvue for tagging - Campaign, Product of Keyword tagging]. The one that we utilise as the Campaign tag and it kind of matches to the AdManager platform. So since we can't make any sort of edits across keywords without going into the campaign, tagging keyword wouldn't necessarily allow us to do any sort of automation. It would only allow us to pull specific reports at a keyword tag level. So for the purposes of setting up any sort of bulk operations or automation, we use the Campaign tag [in Pacvue]. And you can create as many campaign tags. You can create sub-tags. So if you have a number of campaigns tagged tied to a wallet, but then within those campaigns maybe there's also like branded campaigns that you want to separate out, you could create a sub-tag. We don't really utilise this at the moment. We're just focusing on tying all the campaigns to their wallet and then once we've done that, you are able to set things up at the campaign tag level. So you can set up reports. You can set up bidding automation [based on tags] and then you can also set up day-parting. So here you can see these are all of our tags of filter for a recent tag [went through tag filtering for Harry's brand in Pacvue on shared screen].",Filter, Automation, Campaigns, Pacvue, Routine activity, Bulk actions, Search terms / Keywords, UPC or Identifier, Reporting, Wallets, Tagging,,,,,,,
Harry's is a men's shaving brand. So they have like razors and shave gels and soaps and stuff.,,,,,,,,,,,,,,,,,,
"But here you can see this is a campaign tag for their hair care wallet. So this has like shampoo and conditioner. We have the five campaigns that we have tagged to this wallet [indicated in Pacvue report table under Campaigns column]. And then we get all the reporting bubbled up to the campaign level [i.e. Impressions, Clicks, CTR, Spend, CPC, CPA, CVR (conversion rate), ACOS (advertising cost of sales)]. So this is the essentially the only way to get reporting at the wallet level from within Pacvue [using tags]. Otherwise you would have to just download all the campaigns and pivot it out yourself because they don't have a wallet as a filter. They don't recognise wallets in their API.",API, Impressions, ACoS (Advertising Cost of Sales), Wallets, Limitation, CPC (Cost Per Click), Pacvue, Gap (Product or Service), Reporting, Campaigns, Spend, UPC or Identifier, CPA (Cost Per Action), Tagging,,,,
"And then from here [filtered reporting in Pacvue] we have a couple of different things that we could do. We could add a sub-tag. We can edit this tag. We can add a rule you can parse out daily data. You can delete the tag. You can merge into a shared tag [assume it would allow 2 separate tags to be merged together for reporting under the one tag]. I'm not sure exactly what that is. What we've mostly been doing is using tags to set up things like [optimisation] rules and day-parting. So this currently has a rule. If we go over to their bulk operation or sorry, they're optimisation dashboard, they have dayparting rules and budget scheduler. And so one of the things that we were really interested in in this platform is setting up rules, because Target is actually on a first price auction. So whereas like the Grocery Network, Petco, some of our other retailers are going to 2nd price auction [and] is able to like increase those bids automatically based on competition, we have to increase all of the Target bids manually. So with the rules, we're able to say, run this weekly. It tells us the last time it was executed and the next time it's going to run. It will tell you the number of campaigns effected [by the rule]. If we go into edit this rule you can see what we have set up. So right now everything is in PST, that's one of the limitations that we have with Pacvue, we're not able to select Eastern Time zones. But we can choose to have it notify us [via email option] when the rule runs. So you can either choose email me every time this rule runs or just email me if there are changes made based on the criteria. And then you choose your campaign tag. We also have the option to exclude pause campaigns. And then you can set up your requirements. So right now we have been mostly utilising things like ROAS, click through rate impressions and sales. But you have a lot you can pretty much choose from all of the data brackets that we send them. And then you can choose custom choose based on ROAS, whatever your metric that you're looking at.",Day-parting, Reporting, Grocery Network / Grocery One, Bulk actions, Filter, Pacvue, UPC or Identifier, Limitation, Optimisation, Target, Petco, Automation, Bidding, ROAS, Retailers, Tagging,,
"Yeah. So those are the requirements [optimisation rule requirements in Pacvue]. So I've chosen ROAS and I've said if the ROAS is greater than $0.65 then for the action taken you can increase the bid of that campaign by 6% up to [a bid limit] $6 and you're going to look at the data from the last 7 days, excluding the last two days. So the last two days in the Pacvue platform's going to be today and yesterday. So it's really more like just excluding one day, but you're also not counting data that's from today. And then I can choose the frequency of how often I want this to run. So you can choose everything from daily to every 2, 3 [or] 4 weeks, every two weeks. You have a lot of options to choose from. You can choose the day and since I chose weekly, I can choose the day and time that it runs. This is only looking at the same ROAS that we have in the UI, which is 14-day, same SKU click. So that's why I have it as kind of a low ROAS just because these clients are actually measuring enhanced attribution. But since we're not able to use that, I've set the requirement [bidding] a little bit lower. And then you can add more requirements. So if the requirement that we want is the client is interested in conversions and CPC or something like that, just really depending on what the client's KPI's' are, I can say the ROAS has to be $0.65 and the CPC has to be lower than a dollar. If it's already over a dollar, don't increase it. We could also put whatever cap [spend limit]. So for this one I put $6 since the price point of these products is a little bit higher. But it lets us cap at any dollar amount that we would like. You can choose to increase at a percentage level or the dollar level. If you say increased by $0.50 every time or something like that.",Pacvue, Conversion Rates, Competitor advantage, ROAS, Attribution, Optimisation, Date or Time related, CPC (Cost Per Click), Spend Limits / Cap-outs, KPI, SKU,,,,,,,
"Yes. So with the release of bid by keyword, we have found that [in Pacvue] we are not able to automatically change all bids within a campaign if we have adjusted anything utilising bid by keyword [in AdManager]. So if we've trafficked a bunch of new campaigns and we've kept everything at the same CPC, the automation works. It's the same limitation we're seeing with day-parting. So we will use day-parting to say, OK, starting on weekends, we see more traffic, so we want to increase bids for the weekend. So we'll say like increase bids Friday through Sunday by 50% and then on Monday reduce them back down. It only works on campaigns that have not implemented bid by keyword [in AdManager]. I'm guessing you're familiar with bid by keyword [previously only had bid by campaign in AdManager].",Automation, Errors or Issues, Business challenge, Bidding, Search terms / Keywords, Pacvue, CPC (Cost Per Click), AdManager,,,,,,,,,,
"Yes, they're right.",,,,,,,,,,,,,,,,,,
"Yeah, bids by search term. So that's a huge limitation [Pacvue optimisation not working with campaigns in AdManager using bid by keyword]. Obviously, we had a lot of use of that when it first rolled out was like exciting to be able to do that [in AdManager], especially when thinking about how to optimise campaigns. But then we realised that it was not actually taking effect for any of the automation [set up in Pacvue]. So we're still setting up all the automation because it only happens if you have done bid by keyword, and you might not have. So it's a little bit tricky. So we're still just like utilising the automation [in Pacvue] and hoping for the best basically.",Bidding, Search terms / Keywords, Limitation, AdManager, Pacvue, Automation, Errors or Issues, Campaigns,,,,,,,,,,
"Yeah, I think it's a couple of different things. When bid by keyword was released [in AdManager], Pacvue was informed that we were releasing it, but I think there was... I can't really necessarily speak to like the build of everything, but I think they just found that we weren't able to... They're [Pacvue are] not able to touch like keyword-level data. So that's another reason why they have the option to tag keywords [using Tagging in Pacvue] and so other partners that they have, they can tag keywords, they could set automation at the keyword level where our platform is kind of campaign level first and then you have to dig in deeper to get to the keyword. So it sounded like from the conversations that we've had [with Pacvue], they just don't have, they're not able to override the campaign level. So like in a campaign, I can pull up... [Harry's campaigns in AdManager] they have basically a setting for campaign level CPC and then underneath that keyword level CPC's. So like in our platform you have that apply all section [within the Strategy section of the Campaign setup flow under the Set maximum cost per click across your Search Terms field]. This box here where you have 'Apply to all' [button.] As soon as you hit apply all, it rules this campaign out for being able to apply automation [within Pacvue's optimisation rules].  You would have to just put it in here [individually add Max bids against each search term line item instead] and let it trickle down. So what we're finding is that the automation will run [in Pacvue] and it will just change this, but it won't do like an apply to all [max bid setting] thing on its own. So if we had a rule in place, you might come in here [in AdManager] and see this [Apply to all] says that it was increased, but these [line item search terms] were not.",Optimisation, Bidding, Search terms / Keywords, Business challenge, AdManager, UPC or Identifier, CPC (Cost Per Click), Pacvue, Automation, Errors or Issues, Tagging,,,,,,,
"So the automation for bid increases [in Pacvue] is really great. They also have a history log [of campaign optimisations]. You can also copy a rule, so if you want to just keep all of the requirements and everything, you can copy it onto the next wallet. The history log is something that we don't have in the [AdManager] UI, so this is really great. We could come in and see that bids were changed. What they used to be, what they are now and like when it happened. They also have a task center [in Pacvue] which we don't have in the [AdManager] UI. So we can see if day-parting ran, if a bulk event took place, if a rule took place, if a budget took place. And you can also see, I forget exactly how, but I believe in the record you can see who was logged in, which user. This one [campaign] is old and turned off, so that's why it's failing. But that's really helpful when we're trying to investigate things, especially if clients are making changes. You can see here it says 'non manual' [under the Task Center table column 'User Account']. That means that it was run through Pacvue versus running through AdManager.",Pacvue, Competitor advantage, Date or Time related, Reporting, Good experience, Campaigns, Automation, Day-parting, Bidding,,,,,,,,,
"So recently we had a bunch of campaigns and when we logged into the platform Monday morning, we found a bunch of campaigns, or I think it was Friday maybe, a bunch of campaigns were moved to pending status at like 4.00 AM Eastern [time]. So we knew that something happened during the night, that obviously none of our team was online. We were able to come into here and see what happened was a day-parting event where the idea was to increase bids and this [Task Center] allowed us to investigate because obviously it’s now failing but at the time had succeeded last week. And it allowed us to come in and see that day-parting was turned on for something that shouldn't. Basically, it shouldn't have been turned on. It shouldn't have ran, but also it shouldn't push campaigns into a pending status. Like if the request is just to increase the bid that doesn't require additional campaign review and approval. So that helped the Ad Op's team to be able to troubleshoot on our own because otherwise we wouldn't really know. We're just flagged campaigns were moved to pending and we don't know why. You also have the option to revert changes. So if a rule ran, like we had a couple of rules run yesterday and you could see the history of those, you can also like go back as far as you need to to review any time that a rule ran. But you can select them and choose revert so that you undo any CPC changes all at once, if you'd like to. So, we've just found this handy to be able to kind of look back this way and could see changes that you might have done like campaign bid increases that might have happened three weeks ago. Whereas if you look in the [AdManager] UI, you would have to download the report and then work backwards by dividing the cost by the number of clicks since when you download the report it's only going to show you the current CPC. Does that make sense?",Bidding, CPC (Cost Per Click), Campaigns, Competitor advantage, Day-parting, Access, Positive feedback, Concern or Worry, Pacvue, Date or Time related, Reporting, Analysis, Managed service,,,,,
"Yes. So once you have your team and wallet created you can actually do all of the campaigns through this bulk function. Our recent limitation that we were not experiencing a few months ago is that we're finding the PST time zone [Pacific Srtandard Time] is a little bit hindering. So we'll bulk upload something, and since  most of our team is in Eastern Time zone [EST], when we look at it in the [AdManager] UI, if it was supposed to end January 31st, we're finding that it says February 1st. But we are able to use templates that they have [using Download template button within Pacvue]. So you could download a template and if you have like 10 campaigns to upload, you can just use their workbook [Excel spreadsheet]. But you can just put the campaign name, the placement type, the wallet ID, all of this information and go line by line [in the spreadsheet]. It's the same for each tab [i.e Definitions, Campaign, Product, Keyword tabs in the Excel spreadsheet]. So as long as you've provided the campaign name, you can add all of the SKU's, and line by line if you have 10 campaigns. Same thing with keywords. Then you could just save and upload this template and it will create all the campaigns for you. You'll still have to go into the Target UI to approve them. But we are able to do bulk campaign creation using that template. They also have bulk operations within campaigns [in Pacvue]. So time he's going to let this load. You can select multiple campaigns and do things like, pause them all at once, if you need to. Or if they were paused, move them all to enabled. You can change the bid all at once, or if you need to change the end date. Once a campaign is trafficked, we don't have the ability to change the start date in Pacvue, for some reason. I'm not sure why, but we can bulk change the end date. So if we have the campaign that we're going to be adding more funds and extending the program then we can do that all in bulk versus in the [AdManager] UI going line by line. You can also bulk use any of these operations [i.e. State, Settings, Products, Keywords, Campaign Tag, Optimization Rules, Day-parting, Budget Schedule]. So keyword Ad products. They have the day-parting setting. So you can choose a bunch of different campaigns and then if you want to say like tomorrow increase all these bids $0.50 you can do that. So they do have a lot of bulk functionality.",Bulk actions, Campaigns, Target, Products, Pacvue, Day-parting, Positive feedback, Search terms / Keywords, Business strategy, Date or Time related, Limitation, Optimisation, Excel, UPC or Identifier, Competitor advantage, Tagging,,
"Yes, exactly. It's definitely helpful when it comes to date changes. Again, we do have that issue of it's PST [Pacific Standard Time]. So that's something that we're having the Pacvue team kind of work on. And Katy [Keane] mentioned that we're trying to send them hourly buckets, so that hopefully we can start utilising EST. But we do have that ability, core bulk functionality if the time zones work.",Pacvue, Time Zones, Date or Time related, Competitor advantage, Positive feedback,,,,,,,,,,,,,
"So I am piece-mealing information as I hear it, so I could be wrong. But I believe one of the issues is that we are sending them [Pacvue] data only like once per day versus hourly. So if we can send them hourly data, the idea is that it they would be able to choose a different time zone, and I might be saying all of that information wrong. It's a little bit outside of my knowledge of how the API connection works. But right now we just they only have PST. They're telling us that we're only sending them data in PST [time format] for whatever reason.",Date or Time related, Pacvue, Errors or Issues, Time Zones,,,,,,,,,,,,,,
"Yeah, I'm not 100% clear on that, but they're [Pacvue] saying basically that it's coming from our end. And then I guess somebody told Katy [Keane] that a solution would be these hourly buckets. So we're hoping that that is a solution. They also have this report section which if it works is really awesome because you can set up custom reports. Right now we are investigating why their data is different than DataGrid data because we're finding that DataGrid data has captured a lot more impressions and clicks versus what their [Pacvue] reports saying for things like enhanced attribution. And Target, really pretty much all of our clients are just looking at enhanced attribution. So we're not utilising this [Reports] section right now. But it would be a huge lift off of operations plate if we were able to just create these reports and have them set to run automatically versus pulling them all the time. So that's one of the kinks that we're trying to work out. And then they also have a competitor analysis report, which is really different than what we have access to in DataGrid because it includes all Ad calls. So they are actually just crawling the Target site and they're able to show like for this Harry's [mens' brand] report, they're able to show organic search results as well as advertised search results. So we can compare how our brands are holding up against the total [Share of] shelf. Not just other internal AdManager brands, but also anyone running with Criteo, now RMS and just organically.",Future opportunity, DataGrid, Brands, Errors or Issues, Manual effort, Criteo, Managed service, Analysis, Share of Shelf, Partners, Positive feedback, Time Zones, Pacvue, Target, Competitor advantage, Date or Time related, Reporting, Reduce effort
"So you can see if you Click to Keyword or share of voice [using Keyword SOV in Pacvue] you can see the total share of shelf for the Gillette men's razor, just the keyword. But then also there are organic share, their paid share, the Ads frequency. So if you wanted to like filter by just, I think we can filter by organic. I haven't looked at this at a while. One  limitation with this is just we have to set up the monitoring. So if we launch a new brand today, we have to go in and create the report. It won't look back at anything historical. So if we start tracking today, then we can start building data, but otherwise there's no just like how your brand usually does or how they did last year or anything like that.",Search terms / Keywords, Ad serving, Reporting, Limitation, Date or Time related, Share of Voice, Pacvue,,,,,,,,,,,
"I believe it could be all retailers. I'm not sure what our current contract with Pacvue is. I just know that the original conversation was just to look at Target and Albertson's and then now that we don't work with Albertsons anymore, they want to look at Ahold [Delahize]. I don't know if it's like we're [Pacvue] paying per retailer or if it was just like a bandwidth, time consuming-type of thing, but I think it's all retailers.",Understanding vague, Contracts, Pacvue, Ahold Delhaize, Fees or Charges, Albertsons, Pricing structure, Target,,,,,,,,,,
"Yeah, definitely. I have some time available tomorrow or next week, whatever works for you. My calendar, I see a couple of openings, but I could definitely do if you want to do another hour. I'm excited to be kind of getting a tiger team together on this because there are definitely some like learning gaps, working within the platform, but then also like I was saying the bid by search term issues, the reporting issues, the time zone issues. Like if we're able to fix all of that, I think this would be a much more beneficial tool. So I'm definitely ready to work on this with you guys.",,,,,,,,,,,,,,,,,,
"So Katy and I both kind of share the AdManager admin username. But then we just actually create usernames for anyone else on their team. So everyone has their own individual login and then that way through the history log you can see who has done what. You can also, if you need to, limit which teams they have access to and things like that. So we just have this standard like Pacvue login. It doesn't go through OKTA [authentication] or anything like that.",Access, Routine activity, Pacvue, Managed service,,,,,,,,,,,,,,
"Yes. And then I clicked into a campaign just to quickly show you the two columns [in Targeting section in Pacvue]. So these are all the keywords they have this keyword Max bid and then they have campaign Max bid and I think that is why the automation only affects this column [Campaign Max Bid]. But if you have changed a keyword [Keyword Max Bid], it's now just skipping it rather than saying like apply 5% increase to whatever the bid is, it will only touch this [Campaign Max Bid] and then not touch this [Keyword Max Bid], if this has been changed.",Reporting, Understanding vague, Search terms / Keywords, Pacvue, Performance, Automation, Bidding,,,,,,,,,,,
"Well, right now the problem that we have is in when the [Optimisation] rule runs [in Pacvue] and we receive that notification from Pacvue saying, we changed this campaign from $1.20 to $1.27. I don't actually know if all of the keywords in this campaign were increased because they might not all be at $1.20. They might be at a dollar, you know, depending on the keyword. And then if that is the case, they just weren't touched at all [changes were not updated by the optimisation rule]. So we would have to then go back in manually to increase bids at the keyword level. So it's a little bit misleading because it will say that it made a change but then when you look at it if anything was ever done to bid by search term [Keyword Max Bid change], nothing actually happened on our end.",Search terms / Keywords, Manual effort, Optimisation, Pacvue, Errors or Issues,,,,,,,,,,,,,
"Yeah, exactly.",,,,,,,,,,,,,,,,,,
I think we turned it off.,,,,,,,,,,,,,,,,,,
I think it's something that we might have limited their [Pacvue] access to so that we can still kind of control the IO [Insertion Order/Contract] process and make sure that we know like the pipeline and what's going on there.,Pacvue, Insertion Order (IO), API, Understanding vague, Access, Future research,,,,,,,,,,,,
"Oh, it shows the Amazon, but then I don't have an account with Amazon.",,,,,,,,,,,,,,,,,,
Ohh yes. Gotcha. Would you like me to create [Pacvue] logins for you guys?,,,,,,,,,,,,,,,,,,
"Yeah, definitely. I could create you guys' passwords and then I'll just chat. And I'll just create like a a temporary password that you can change if you like. I was trying to show you there, you could take a look at it when you log in, it's there. You basically land a home page is just to reporting section. So you can choose by team. But you can also choose like multiple teams if you want to compare things. But one of the things that we like is the week-over-week comparison. You can choose if you want to look at day-by-day, by month or by week, which we don't have, obviously in the AdManager platform. And then they also do like depending on the date range that you've selected, I'm looking at, let's say last 7 days. They'll do just a top comparison to the last 7 days versus the 7 days prior to say either your sales are up or down compared to seven days prior spend is up or down. Stuff like that, which is just like a nice quick little data glimpse.",,,,,,,,,,,,,,,,,,
"Well, thank you for your time. I'll create those users for you guys.",,,,,,,,,,,,,,,,,,
Awesome. Thank you. Have a good one.,,,,,,,,,,,,,,,,,,
"Yeah. So I am Rajat. I'm working here is senior product managers handling mostly partners, so we work across various partners and AdManager definitely is one of our recognised partners.",,,,,,,,,,,,,,,,,,
"Yeah. Hey everyone, this is Sakir Khan. So I'm working here as a senior software engineer, so mainly like I handle like third party pay integration and handle  like client-facing interfaces.",,,,,,,,,,,,,,,,,,
Yeah. So basically you want to see the CIQ [CommerceIQ] platform.,,,,,,,,,,,,,,,,,,
"Yeah, definitely. I can show that to you. Just give me one second. OK so, I'm just figuring out how to share it.",,,,,,,,,,,,,,,,,,
"Yeah. So this is our platform and if someone logs in, so here are the retailers. Again, this is client specific, so these are the retailers for that particular client. And we can see this retailers here, and let's say we go to any of the retailers, let's say Target which is on AdManager. So the left navigations gives you the place or the area where we have all our [retailer] features. So for AdManager currently we have enabled 4 features as you can see. One is the reporting section, one is the market insights, one is campaign optimiser, and one is campaign management.",CommerceIQ, Brands, Target, Insights, Retailers, Campaigns,,,,,,,,,,,,
"So if I go to campaign management [shared CommerceIQ screen], here you will find whatever we get through AdManager. The campaigns, these SKU’s, the keywords, so all the things we download both from the campaign API and from the BigQuery. The performance data and show it to the user. So please feel free to stop me wherever I'm going fast, or you need more details. In campaigns we have a date filter where we can go as much back as possible. There is literally no restriction I can go to last year and see last year's data as well, so there is no restriction as such. And here if you see small things [date ranges] so let me show that for last 30 days. So users can see their top metrics. So this last month he has been [$]73K and it has been over 7.59 percentage from the previous month. So here it gives the previous period, December 10 to January 8th, and they can select any metric, then add any metrics, let's say Paired sales, or they can add you know.",API, Data, BigQuery, Metrics, SKU, Search terms / Keywords, Performance, Campaigns, CommerceIQ, Date or Time related,,,,,,,,
"We have various metrics and they can add the metrics. We have this chart that shows how a particular metric is fluctuating over the selected period. Let's say I want to see spend and I can see the spend is pretty much constant, but I see it trend after February 6th. It has been pretty much decreasing and that's why we see the cost [per bid] has been increasing. So this is something they [brands] can see.",SKU, Bulk actions, Search terms / Keywords, Optimisation, Budget, CommerceIQ, Competitor advantage,,,,,,,,,,,
"The second most interesting thing is bulk actions, which they typically prefer let's say I want to adjust the budget of this 3 or 4 campaigns. I can select as many campaigns and I click on adjust budget and I say make it a daily budget. And whatever is the budget you increase the budget by let's say 15%. Like click on Apply so it gets applied on the AdManager platform. So, there are like various actions users can take like changing the status, and you know, budget and everything. Removing the SKU’s; adding SKU’s. I will not go into other two tabs [Ad SKU's and Keywords in CommerceIQ], it pretty much same along the keyword and SKU’s.",SKU, Bulk actions, Search terms / Keywords, Optimisation, Budget, CommerceIQ, Competitor advantage,,,,,,,,,,,
"The only thing I wanted to show is we integrated with the [AdManager] advanced reporting metrics, which shows the metrics based on the advanced attribution model. And they can toggle; they can select so this becomes a standard metric, which is 14 days click only, and advanced is 14 day click, and 1 day view. So that's pretty much on the campaign management. Before I go ahead, any questions?",Attribution, CommerceIQ, Integrations, Metrics, Aggregated reporting, AdManager,,,,,,,,,,,,
"Yeah, there is a combination of things. So there are like brands, there are agencies who manage the brands. Then there is our self-managed service user who manage clients based based on AdManager behalf. So those are the 3 categories of user.",Brands, CommerceIQ, Self-serve, Agencies,,,,,,,,,,,,,,
"So there is two different things. So we use this platform and take actions on AdManager that you use our key. Like let's say whatever the common email ID we have given like CIQ underscore, app underscore, something. So we use that particular user ID and the key to take all actions. Now all the users, they have their own credentials. Because if I go to users. Here you can see these are our users and there you see there are brand users from Kellogg. There will be agency users. And each one of them have their own user ID and password. So they use their user ID and password and when they log in they see this particular portal [i.e. CommerceIQ dashboard]. Does that answer your question?",Integrations, CommerceIQ, AdManager, Access,,,,,,,,,,,,,,
"Yes. Because some users, I think if you'll see some users are deactivated, they might have left the organization or moved out. So we deactivated from here so they can no longer access our platform. So we manage the users ourselves, but still we have contract with our clients. We connect to AdManager using our common credentials. The moment the contract is over, someone else takes the contract, then they send email or note to AdManager and they take over the write and read access from us and give it to the new provider.",AdManager, CommerceIQ, On-boarding, Business norm, Contracts, Access, Integrations,,,,,,,,,,,
Which authentication from our portal to CIQ through AdManager?,,,,,,,,,,,,,,,,,,
"No, we don't. We have not faced any authentication issues. But Sakir, do you have any more  on this?",,,,,,,,,,,,,,,,,,
"No. It's running smoothly, no issues as of now.",,,,,,,,,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,,,,,
"So basically when we get a client there is something called as an intake form. We submit that intake form and once that intake form is submitted, someone from AdManager team, they give access to the email ID which we have. They accept give access to that particular teams. So that that's how we get access to a new point.",CommerceIQ, On-boarding, AdManager, Access,,,,,,,,,,,,,,
"Yeah. So this if you see, I have logged into AdManager. So this is our home common credential. So CIQ, hyphen platform, hyphen dev, at the CommerceIQ. So within this user I have connected to multiple namespaces, right? These are all the retailers I can see now.",,,,,,,,,,,,,,,,,,
"If I go to Target there also I will have multiple teams that I support. So here if I go choose a team and if you see this many brands we support. Right there is like Simply Good Food, Egglands, Kellanova. They have their own credentials, they log in and they perform any actions. We use the standard credentials we store, which is the brand which is the retailer, and we take actions using our own standard login credentials.",Business norm, Target, Access, CommerceIQ,,,,,,,,,,,,,,
Yes.,,,,,,,,,,,,,,,,,,
"Yeah. You see, reflect those like who made what changes.",,,,,,,,,,,,,,,,,,
"So coming to the next one, we have the reporting section where we give a user say easy way to create reports. So it's a pretty simple. They just quickly create report. We have SKU-based report or a keyword-based report. You wanted WBR, which is weakly business review; monthly business review [MBR]; QVR [quarterly business review]. And based on whatever this select we load the default report and they can very much edit.",CommerceIQ, Reporting, Search terms / Keywords, SKU, Customer needs,,,,,,,,,,,,,
"Let's say they want to group it by SKU, they do that. Someone will say no, I don't want to SKU. I want to group by maybe a campaign type? So I remove SKU. I keep campaign type only. And I want to add few more metrics. Let's say I want to add total ROAS.",Metrics, ROAS, Reporting, CommerceIQ, SKU,,,,,,,,,,,,,
"So this report gets generated and every week they use this report; they can download this report. Yeah. So this is the reporting tool pretty much we have multiple widgets. There's the line chart. We keep adding more widgets to it, but yeah, this is a working tool.",Business norm, Reporting, CommerceIQ,,,,,,,,,,,,,,,
"Then we have something proprietary called Market Insights where we, say that what is your share of voice? No, share of voice is nothing but let's say how a particular brand is performing in the retailer website for certain keywords. For example, let's say I want to see how my brand is performing. This is Kellogg, so how it is performing on an organic basis for generic keywords or let's say all keywords. So what it shows that on the generic keyword and an organic level, your share of voice is 4.9%. So like if there are 100 places you are in the search page, coming around on flight 5 places. So your competitor [to Kellogg] like, Good & Gather there are coming in 20 places, right? Frito-Lay [another Kellogg competitor] coming in around 3.6% of the places. And you [Kellogg] have lost like 0.2% of share of voice.",Share of Voice, Placements, Search terms / Keywords, Insights, Brands, CommerceIQ, Performance,,,,,,,,,,,
"So yeah, it gives them some picture how they are performing, and it is at a keyword level. Like the keyword 'snacks' you [Kellogg SOV on Target] have lost lot of swear voice 14%. But if I go below and say waffles, we have actually increased your Share of Voice by 4.3%. So that's how we showed them [brands] and what they can do about it. They can say, OK, snacks, we are losing share of voice. Maybe they will go to the campaign management tool in the keyword section, search for snacks and they increase the bid by 10% or 15%. Or they  will have some written [optimisation] rules that will automatically do that. But yeah, I think overall that's the concept. Like how you are performing on the retailer website. So we'll take a pause. Any questions you guys have?",Optimisation, Reporting, Performance, Insights, CommerceIQ, Share of Voice, Automation,,,,,,,,,,,
We don't group at a campaign level. The reason is it's purely because the actions are typically taken at a keyword level. Are you asking like what actions they can take?,,,,,,,,,,,,,,,,,,
