TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,,
"So I'm not the one that's actually creating the campaigns and building it. But a lot, I would say a lot [of campaigns set up weekly]. 50 or more. I don't know. It depends on the week. It could be like hundreds or it could be less. It depends.",USA, Hack or Workaround, Campaigns,,,,,,,,,,,,,,,,
"When you say campaigns do you mean, like actual-line items? Like, there's a cheese campaign, there's a soup campaign, or do you mean like the general programs? Because I know AdManager uses campaign a little differently.",,,,,,,,,,,,,,,,,,,
"OK. I mean, at one point it was like probably 50 plus, but we're transitioning accounts and working to get some off of my plate. So let's just say like 15 to 20 [campaign programs] right now.",,,,,,,,,,,,,,,,,,,
"Yeah. So, yeah, some of them have a lot of campaigns, AKA like different line-items within the program. So like I work with Kraft and they have probably 50 to 70 campaigns in there. Yeah, so we also have to split it [campaigns] by placement. So you have search, you have PDP [Product Display Page], you have category and then if they have Pickles American cheese, coffee, jello pudding, frozen meals, blah, blah, all of these other ones you're making basically three or if we're adding the Harris Teeter Cart, that's basically five campaigns per product or category. So, it adds up very quickly.",Placements, AdManager, Kraft (Heinz/Kraft), Campaigns, Categories, Gap (Product or Service), Business challenge, Language use/Terminology,,,,,,,,,,,
"I can show you guys if you want. Yeah, I can share my screen. You can keep asking. I, I just need to refresh my AdManager.",,,,,,,,,,,,,,,,,,,
"No. Basically we call the deal or like if it's a AdManager team, like I call it a campaign. But I've also just kind of had to like move my language around because within the AdManager platform, each of those keyword groups is called a campaign. So I think that answers your question maybe. And you just want to see what Kraft looks like.",Language use/Terminology, Kraft (Heinz/Kraft), Business challenge, AdManager, Contracts, Campaigns,,,,,,,,,,,,,
"I'm sorry, what was your question?",,,,,,,,,,,,,,,,,,,
"How are they allocated to us? So basically, we use HubSpot to track all of the campaigns, all of the deals. And then within HubSpot an account is assigned to me. So I have this Kraft deal that's assigned to me. And so then it's created in the AdManager dashboard as a new team. And I know that this one is mine because I'm managing that program. So then I'm working with the client and basically, it's just, it's all kind of assigned through HubSpot. Or we have like an account list and then we use HubSpot and then we kind of go into AdManager. So here's Kraft [shared AdManager UI] and there are a lot. So these are all search only placements. You can't really see how many pages there are but if we click through, you can see that there's going to be several across the few placements we have PDP which is broad display category, search, share Cheadar cart. So these are again, this is a larger campaign because it is a portfolio of products. But you can see all of the campaigns that we have to manage are become pretty large.",HubSpot, Placements, Kraft (Heinz/Kraft), PDP (Product Display Page), AdManager, Campaigns, Categories, Routine activity, UPC or Identifier, Manual effort,,,,,,,,,
"Yeah, I wouldn't get too caught up on like the packages. Basically like look at it kind of as a greater whole. Like we sold Kraft an annual contract for $1.2 million. It includes it included FTA [Fixed Tenancy Ads] which is not being run right now. It includes the auction sponsored search [SPA]. It includes display media, it includes Banner-X media and everything lives in here. So you can see right now we're running a back-to-school display program that lives in here. That back-to-school Banner-X also lives in here. Under paused or maybe it's under archived.  So we had an 'art of the burger' display program run earlier this year. So it all kind of lives in here. You can see whatever was archived. So, like this one whole program, everything lives in this team.",Banners, Kraft (Heinz/Kraft), Contracts, Business norm, Budget, FTA (Fixed Tenancy Ads), SPA (Sponsored Product Ads),,,,,,,,,,,,
"So every campaign is different. This originally launched with one wallet that can move fluidly across the auction campaigns. The client has come back and said we need to map out budgets by business units [Kraft business units]. So now we have a few different wallets for just that search portion. Some clients are different. They can have one fluid budget, so we'll just have one wallet. They might say we need to have brands by retailer. And if they're targeting six retailers, then we'll have six specific wallets. They might say we need budgets by brand. So basically every client's different. But those would be the 3 major either just [1] one overarching, [2] budget by brand or [3] budget by retailer. And I can show you another example of like P&G [Procter & Gamble].",Business norm, Procter & Gamble (P&G), Business decision, Brands, Budget, Preference, Kraft (Heinz/Kraft), Campaigns, Wallets, Business challenge,,,,,,,,,
"I mean, it's usually coming from the client because I feel like our team prefers one wallet, one budget that can move fluidly across all campaigns and then spend where there's the most demand. That's like my always 'go-to' recommendation because then you're not limiting any of the budget. Like maybe American cheese [for Kraft] is spending a lot but it it's done, it's spent its budget but Pickles is pacing behind and we could technically shift some budget. So I like to do the one budget. But clients will tell me if they need it [wallets set up] by retailer or by brand. So that information is coming from the client. So in this case, he said we need Hy-Vee shop right broken out and then you can put all the smaller retailers in this general multi-retailer wallet. Whereas I think it is [Procter & Gamble] Home Care told us, hey, we need budgets by brand. Like we can't, whatever Tide [P&G laundry product] has gained can't spend. So then in this campaign, we actually broke the wallets out by [P&G] brand. So each client is a little different. It's this is unique, like these two were Procter and Gamble, P&G campaigns. But one of their, their Home Care team said we want it this way. But then their Fabric Care team said we want a different way. So everyone works a little different.",Preference, Campaigns, Kraft (Heinz/Kraft), Brand needs, Advice and guidance, Business challenge, Wallets, Brands, Spend, Business decision, Hy-Vee, Pacing, Budget, Procter & Gamble (P&G),,,,,
"So basically, it's what is the budget for what timeline. A lot of these bigger clients I'm working with are on, like a 12-month contract. And so we have to figure out like how much have they spent of the budget, how much is remaining. But then I also back into what should they have spent if they were pacing evenly. So, you know, if we have $100,000 budget across five months, they should be spending $20,000 to pace evenly. And if I see that they've only spent $12,000 in the first month, then I know that they're pacing behind and we need to try to like increase pacing to spend a little bit faster, to try to catch up so that we can spend that budget in [the] fall.",Budget, Overspending, Brands, Routine activity, Pacing, Contracts, Underspending, Advice and guidance, Spend,,,,,,,,,,
"Yeah, let me share my screen again. So that pacing doc, that one just rolled out, so I'm not as like using that as my 100%, always look at it. I'm still like moving over to using it. But I have like weekly or bi-weekly calls with all of my clients. So I actually map out what it's looking like. So like for General Mills, they have budgets by brand [shared a Google spreadsheet for General Mills budget pacing]. And so every time I have a call with them, I pull the data from the UI, the search data, and then I sort it by wallet so that I can separate out the brands. And then I provide the client, what we've spent out of the annual budget and what we should have spent based on that calculation I just shared with you looking at, how much time has run versus how much time has been left and figure out like where we should have spent by now. So this is kind of an example here that I work through with the client. And then, we also look at performance to then figure out optimisations together in real time. Do we need to slow the pacing down? Do we need to set daily caps? Or are we pacing behind? Should we try to open up Annie's [General Mills Mac & Cheese brand] outside of macaroni and cheese and add in some more of the portfolio which we did here adding crackers and cookies, et cetera. So that's kind of a version of a report that I used to like explain pacing to the client.",Manual effort, Data, Google spreadsheet, Reporting, UI, Routine activity, Pacing, General Mills, Optimisation, Spend Limits / Cap-outs, Budget, Hack or Workaround,,,,,,,
"So in this example, the client has come with allocated budgets by brand [shown the Google pacing spreadsheet]. So we can't touch the Annie's [General Mills Mac & cheese brand]. They have $25,000 for their fiscal year, which is June through May and so we can't cross dollars over [between wallets]. But we can, [understand] are we pacing ahead? Let's set some daily caps to ensure that this budget lasts your fiscal year. Are we pacing behind? What can we do to try to pick that up. In this case, we added more products from the [General Mills] brand [to the campaign]. Does that make sense? Do you have more questions?",Google spreadsheet, Brands, Pacing, Budget, General Mills, Wallets, Managed service, Campaigns, Optimisation,,,,,,,,,,
"Yeah, there are plenty of times where we'll change the max CPC to try to help boost pacing. Or if I see ROAS is low, I might want to lower the CPC, but also we need to make sure that we're winning on those terms. So yes, basically our major points of optimisation are CPC [max bid] changes, so increases or decreases, adding keywords, but then also I would say adding keywords and SKU’s, but also pausing keywords and SKU’s. And then a few other ways to like manage the campaigns are daily caps. If you can shift budgets between brands [or wallets], which a lot of clients say you can't do. But those would be like the major points of optimisations that we can make.",Routine activity, CPC (Cost Per Click), Search terms / Keywords, Spend Limits / Cap-outs, Pacing, Managed service, Wallets, SKU, Optimisation,,,,,,,,,,
"Yeah, so this is a unique one [shared GM's budget pacing spreadsheet]. We actually had some added-value [spend] specific to cereal provided to this client [General Mills] from their fiscal year '21 [2021 ] from like a fixed tenancy issue. So we launched cereal on the paid wallet, which is this wallet here [wallet named 'Cereal_General Mills_FY22_Hyvee_534']. But now you can see that in this note, I said the $11,000 of added-value is running uncapped, paid media is paused. So right now all the paid media is paused and just the added-value media is live. And we have to have added-value [budget] on a separate wallet and labelled [wallet named 'Auction_AVS_CEREAL_General Mills_FY33'] or else the finance team doesn't know it's truly an added-value and they would charge for it, right?",Spend, Wallets, FTA (Fixed Tenancy Ads), General Mills, Budget,,,,,,,,,,,,,,
"Yeah, that's OK. I'm actually not going to use Kraft as an example just because there's a lot going on and I would need to like pull a bunch of data to get a holistic view of it. Let's just use this General Mills Hy-Vee because we have the data and I know it's much cleaner. There's a lot of teams as you can see, it's somewhere around here [shared General Mills instance of AdManager UI]. So what would we do to optimise? So first off, Annie's was pacing behind [shown in the pacing spreadsheet] and so I really wanted to focus on adding more products. So my first kind of step to optimise is see if the client will approve to add additional SKU’s from Annie's [GM's mac and cheese brand] portfolio, which they did here. So that was kind of like one of my first agenda items is get those Ad SKU’s, and which would then ultimately add keywords. So that's kind of one way to optimise. Then what we've done here is Betty Crocker [GM's food brand], I see is pacing ahead. So with that, knowing that we are pacing a little bit faster than where we should be. And that this budget's kind of small to last 12 months, had recommended to apply daily caps so that it's not necessarily going to, help it. It might not help performance, it might help performance. But we want to ultimately slow down pacing here. So we set daily caps on Betty Crocker, probably a few other brands. A few other things I like to look at is return on ad spend [ROAS]. So what is performing really strongly? You know, fruit snacks here on Annie's has 810% return on ad spend. It has barely spent anything but it is generating strong returns. We could try to bump up this max CPC, maybe to like 250 [adjusted the GM pacing spreadsheet lime-item to $2.50 on the max bid] just to see if maybe we can win some more slots. And maybe we can continue to like boost the spending on this campaign while keeping return on ad spend strong.",Spend, Hy-Vee, Optimisation, Gap (Product or Service), Advice and guidance, Manual effort, Budget, Overspending, Managed service, Campaigns, Spend Limits / Cap-outs, Hack or Workaround, Pacing, Data, Search terms / Keywords, General Mills, Google spreadsheet, SKU, ROAS
"These are all just static [values in the GM pacing spreadsheet] that this is strictly pulled from the UI, so there are no equations in any of this data. It's all just like numbers pulled from the UI. The only equations are here [in the spreadsheet running sub-totals] where I'm literally just summing up the cost and I'm manually calculating the 'Should have spent'. So, when I'm going through with clients and going through this data and talking about recommendations if they're like, yeah, I'm aligned to increase my CPC on fruit snacks. I'll usually just like mark it in yellow and change it [in the pacing spreadsheets] and then kind of use this as my action item when I'm off the call to go make the changes in the platform. From here, if you want to dig in a little bit further to decide if we need to increase the CPC, then what we can do is let's go back into Annie's [General Mills brand]. For example, I'm going to click view report [in AdManager] to get into that granular view. We can take a look at search terms and hone in on the average Ad rank. Because average Ad rank, you want to be between 1 through 5 [for slot placements]. If you're any higher than five, that indicates you're not winning the top slots. You should increase your CPC. So Annie's looks good right here [displayed Avg Ad rank for Annie’s as 3 in AdManager UI]. But, it's clearly a timely task because I need to go through each like brand. But then within each brand, there's those own campaigns that fall under that brand. So we kind of need to dig in a little bit more when making optimisations and looking at average Ad rank is definitely helpful to determine if we should increase CPC's. But as you can see, we kind of have to go into each one in a granular motion. Other than that, let's just go back here and go back to Annie's [brand] as an example. Actually let me use something that's been live a little bit longer. This gluten-free cereal ['Auction_Cereal_Gluten Free' wallet within the pacing spreadsheet]. You know, we might want to try to boost the return on Ad spend. Sorry, actually, this one's not live. That's a bad example too. Just trying to find something with lower ROAS here. Let's use Nature Valley [found 'Auction_Nature Valley' wallet in spreadsheets and then searched for in AdManager UI] at 123% [ROAS]. And so from here, what we can do is look at Nature Valley [campaign], let's go into view report and look at the SKU's. And this campaign might benefit from removing some lower performing SKU's. So I just sorted it by cost [in campaign Report] to see what SKU’s are spending the most of the dollars. And, overall some of these returns are pretty low. For example, you know, these two [Nature Valley Honey and Brown Sugar line-items] haven't spent a lot in the past seven days. This has spent around $100 but right here, 24 of those dollars, which is about 25% of the spend is going towards these two SKU’s [Nature Valley Cinnamon and Peanut Butter line-items] that aren't generating positive returns on the sales. So here's another example of SKU’s that I might recommend pausing so that the budget can go to those SKU’s that are actually converting and people are purchasing, and they have a stronger return on Ad spend.",AdManager, Limitation, Bidding, Spend, Pacing, ROAS, UI, Placements, Wallets, Managed service, Google spreadsheet, Optimisation, Campaigns, Reporting, CPC (Cost Per Click), Advice and guidance, Hack or Workaround, Performance, Manual effort
"So you would go into Edit campaign and then you would go next to the Advertised Product section. And from here you would find those two SKU’s and just hit the X button. So when I say pausing, we're basically removing them from the campaign. And then once I remove them you just hit next through all of the stages and then submit it again and then you're good to go.",,,,,,,,,,,,,,,,,,,
"Yeah, I would say it depends on the brands. You might have some smaller challenger brands that are like, hey, I only have 5 SKU’s or less. I've had campaigns that are like, hey, I have two SKU’s and that's all I want to run. Then you've got, these brands [like General Mills] that have a lot of SKU’s and in that case, we usually say, yeah send over as many as you want. But then we kind of need to take a step back after we have some data and figure out like maybe all of these SKU’s aren't working to their benefit. So you get both ends of it and just need to work with what you have. But if you have too many SKU’s, like I said, their top seller, maybe like their lowest performing product because of the way the algorithm works and relevancy is tied in, like it could be showing the products that just we know don't convert the most [low Conversion Rates]. Or the client knows that that doesn't convert the most. And so because of that, we might want to consider removing them up.",Managed service, General Mills, SKU, Analysis, Business challenge, Relevancy, Products, Brands, Conversion Rates, Performance,,,,,,,,,
"Great question [on pacing]. I mean, ideally we should be touching this program at least once a week, but probably more like 2 times a week and that's across all of these campaigns. To be honest, I've been so underwater for like months that I'm not touching these as much as I should be. But then, we're transitioning accounts right now and trying to open up my bandwidth. So I know I'll be able to spend more time on these, but we really should be touching them at least once a week. But obviously I know like all the CSM's have a lot of work right now. So there's sometimes where the campaign isn't getting touched that week.",Optimisation, Staffing or Resourcing, Campaigns, Routine activity, Managed service, Pacing, Manual effort,,,,,,,,,,,,
"Well, I mean, having that pacing doc [Google pacing spreadsheet] is definitely a good start. It can indicate what's under-pacing, but then you can dig into it and see like the individual campaigns [line-items] within that campaign. But, you know how I had to sort by wallets to then pace by brand. I think having a cleaner view that way. And maybe helping and the pacing doc [spreadsheet] might calculate what should have been spent by now. But just having a cleaner [view] because, you saw my report like I'm sorting that and I'm separating them out and then I'm pulling, spends by each of the brands. So something that you can kind of view it a little bit more like that. Obviously, we can organise it into one, but just to get like, how is Annie's [General Mills brand] across all of its campaigns doing versus having to like add up all of the Annie's lines [campaign line-items]. What else would make pacing? Automatic alerts if we could get email alerts that say your wallet is out of balance or your wallet is under $750, like it already does. Because, just knowing that we're super busy [and] sometimes I don't catch it and I haven't touched a campaign in a week and then I go look, I'm like, oh my gosh, the wallets out of funds, it hasn't ran for 5 days. But also the wallet shouldn't be out of funds. Like maybe the [Ad] Op's team put in the wrong budget and I haven't noticed for five days because I haven't touched that campaign. If we could get an email alert that says General Mills Hy-Vee, Annie's wallet out of funds, then that would like kind of put the pressure on me to jump into that right away and not get to it when I have time and then figure out the wallet's been out [of funds] for five days.",General Mills, Hack or Workaround, Pacing, Underspending, Performance, Spend, Campaigns, Wallets, Staffing or Resourcing, Notifications, Hy-Vee, Manual effort, Google spreadsheet,,,,,,
"So right now, we use HubSpot as like a campaign management tool which everyone agrees it's not really the best campaign management tool. And we just started using Jira to enter tickets for campaign launches and any type of like change request that is a new process. So we're kind of double-up'ing with HubSpot and Jira right now. So, I do my work in Jira, but I'm not like 100% doven into Jira because I'm doing duplicate work in two systems. So I'm kind of just like, let me get it done and move on to the next thing. But those are the two tools we have right now. If anything else, it's like a manual campaign tracker sheet [Google spreadsheet], which I did build for the team and no one wanted to use it.",HubSpot, Google spreadsheet, Campaigns, Manual effort, Jira, Managed service,,,,,,,,,,,,,
Every campaign we run is through the AdManager platform on the retailers that we have rights to run on. Nothing's Amazon or Walmart or Programmatic. Nothing is like that.,Business norm, On-site, Managed service, AdManager,,,,,,,,,,,,,,,
"So you're saying it would evenly pace across like the 5 Annie's campaigns? Not just one campaign? Oh, yeah, I would totally use it. That's kind of our pain-point with daily caps right now. Daily caps are set at the campaign level, not the wallet level. So if you're like, I want to spend $50 a day because we're pacing ahead, you have to like, ok, maybe it's $10 across five campaigns that equals $50 a day. But those campaigns might, you know, Mac and Cheese might spend the whole [$]10 and crackers might not spend it. And so, they're doing right now a manual wallet capping test. So that instead of using daily caps, we just apply the $50 a day to the wallet every day. So, like manually at 9 a.m. the [Ad] Op's teams going in and adding funds to all of these wallets. That's kind of our work around. But if you had a more automated way to cap a campaign on a daily budget but not do a daily cap by campaign, do it more at the wallet level. That would be really cool.",Spend Limits / Cap-outs, Wallets, Manual effort, Pain points, Pacing, Campaigns,,,,,,,,,,,,,
"Oh, I would absolutely love it if the system could do it because as you know, we might not hit that $50 daily cap. If we hit [$]45 we should recalculate because to take those funds that we didn't spend, it's going to make that cap a little bit larger [i.e. add $5 unspent from one day to the following days cap of $50, so it will spend $55 in total the following day]. And right now all of that is super manual and we would absolutely love it to be automated.",Manual effort, Spend Limits / Cap-outs, Day-parting, Pacing, Positive feedback, Automation,,,,,,,,,,,,,
"In most cases, the clients don't care.  You might get a few clients that say, hey, can we day-part? Which means can we just run the Ads from 8 am to 6 pm because how many people are shopping at 2 a.m. So you have some clients asking for that. Obviously, right now, that's manual. We would have to pause [a campaign manually] it and turn it on during those times. For the most part, we always recommend and Always On [spend] approach. With the AdManager platform, Always On is best, it helps get your relevancy score increased. But there have been asks [by brands] for day-parting. So, if that's ever something you can add, that would be a nice option. Other than that, there are clients that are like, hey, we're, we want to ramp up right before the holiday because shopping trips increase or hey, we're running a promotion on our product, buy two, get the third free. We want to kind of heavy up [advertise and spend more] there. So there are certain cases where there's times where they want to kind of boost it [spend] even more. But other than that, I would say, kind of the Always On approach is pretty standard unless we have to daily cap because we're going too fast.",Day-parting, Overspending, AdManager, Manual effort, Brands, Spend,,,,,,,,,,,,,
It's very manual.,,,,,,,,,,,,,,,,,,,
"Yeah, I think what we've built is great, but I will say it's very manual. It becomes very tedious, which becomes very timely. And we are very busy over here, lots of campaigns to manage. So it definitely is quite a lift to monitor all of your programs. So anything to work towards automation, I am excited to hear your ideas. Let's do it.",Managed service, Business challenge, Performance, Optimisation, Manual effort,,,,,,,,,,,,,,
"Yeah, definitely keep me posted if you want to talk again.",,,,,,,,,,,,,,,,,,,
"Yeah. And one more piece on that is because I've experienced both sides of it where you're not pacing. Like it's really hard to spend and obviously we're trying to pull triggers there. But then I've had the other side where we've paced too fast and the client is upset. And so then they're like, well, I want to make good and we have to give them added-value because we spent their budget too fast, which is kind of like silly to say. So there's kind of those two ends of the spectrum. So if there's a way to try to automate to spend evenly, so if I don't touch it for three days, we didn't blow through the budget. Like I have that kind of safety net. Because that's happened too where in January, like one of our campaigns spent thousands and thousands and thousands and it wasn't supposed to spend that much. But that's, you know, New Year people are buying like they wanted those products. But then the client was unhappy that a portion of their budget was spent so quickly. So we get kind of both sides of the spectrum there.",Automation, Pacing, Brands, Future opportunity, Overspending, Support, Negative feedback, Spend, Guidance, Expectations,,,,,,,,,
"Ok. Sounds great. Thanks so much for working on improvements. It's exciting. But I hope you guys have a great night and thanks for staying on late with me and yeah, just if you think of any additional questions, just let me know. I'm happy to help. Awesome. Thank you.",,,,,,,,,,,,,,,,,,,
OK.,,,,,,,,,,,,,,,,,,,
"I can share my screen. Do you just, do you just want me to log on to AdManager?",,,,,,,,,,,,,,,,,,,
"Sure. So as you guys know, I'm the Performance Marketing Manager. I manage different platforms or retailers, not sure if you're aware. So, not just for Woolies, but I also manage Coles as well, and Amazon. And then basically, I think the main part of my role would be looking after the AdManager account, and Amazon advertising account. But the other side of that is that I also managed the banners and also other side of performance marketing. So I think in a nutshell, it's kind of like, how do we spend the budget more efficiently to get them like the best results. So for each dollar spent, how do we maximise the ROI. So that would be looking after again, different channels, looking after different opportunities, doing a lot of testing and in terms of like budget, if we spend more, if we cut down the bids, or if we pull the Ads for branded terms. All sort of different kind of testing to see performance. And obviously looking at reporting as well, presenting strategy to the team. But yeah, basically how do we run Ads more efficiently?",Business strategy, eCommerce marketing/spend, Advice and guidance, Banners, Budget, Performance, Reporting, ROI, Test & Learn / Experiments, Coles, Woolworths, Routine activity, Amazon Ads, AdManager,,,,,
"This morning, this afternoon. I actually look at it every day.",,,,,,,,,,,,,,,,,,,
"Several things. So sometimes I would check the bids for each keyword of the campaigns and make sure that we are not paying a lot. A lot of the time I'll be looking at return on Ad spend [ROAS] to make sure that it's hitting the target. Obviously, budget pacing is the main thing that I look at obviously making sure that we don't go overspend. Having said that we did go overspend massively this month, but it's actually not a problem because we do have a lot of budget to play with. I see with the Sydney lockdown like you guys are probably seeing a lot of traffic going online. But to answer your question, budget pacing is one of them as well.",Overspending, Bidding, Pacing, ROAS, Spend, Routine activity, AdManager,,,,,,,,,,,,
"On a weekly basis, I would say less than one. Because we already have, how many campaign, we already have 48 different campaigns that was already in there. They are all kind of BAU. So, unless we have new NPD [New Product Development] launches, new product launches or like a new campaign, we normally don't touch those. So it's more like optimising the current campaigns.",Campaigns, NPD (New Product Development), Optimisation, Promotions, Routine activity,,,,,,,,,,,,,,
As in for Woolworths for this year?,,,,,,,,,,,,,,,,,,,
"Yeah, so we have a budget of [$]800,000 for 2021 for the whole year. And when you say how is it allocated to you? Do you mean like the budget come from marketing or sales or what is it.",Operations, Budget, Routine activity,,,,,,,,,,,,,,,,
"Yeah, actually let me have a look. I basically looked at how we spend previously. So for example, I think we used to spend around [$]50K a month when I picked up the account six months ago. So I just tend to spend similar amount. Although sometimes we have new testing like aisles or category, then we'll spend more. However, based on what we're seeing so far over the last 30 days or so after lockdown, we're actually spending a lot more. Which is around. I think around [$]80K a month. So again, depending on historical performance and also depending on the volume, how much we need to spend, if the ROI is good, when I say good, it's around probably six or seven, then we can definitely spend more. So that's how I look at the budget. Yeah, I do have it break it down by month. Yeah, so I just make sure that if I add up to 12 months it won't go over my yearly budget.",Analysis, Budget, Categories, Date or Time related, Reporting, ROI, Spend, Test & Learn / Experiments, Routine activity,,,,,,,,,,
We use Kenshoo as a bid management tool. And I know that in talks with CTS Ads about integrating with you guys. So we do use that but only for Amazon.,Bidding, Future opportunity, Integrations, Amazon, AdManager, Skai (Kenshoo),,,,,,,,,,,,,
"Yeah, we're using their... it's called Budget Navigator in Kenshoo. So basically you put in the monthly budget and they would do it for you. So they would, yeah. Which is really good, and I was saying to Kenshoo that let's talk to AdManager and make sure they can, you know, integrate Coles and Woolworths data in there. That would make my job a lot easier.",Budget, Integrations, Coles, Woolworths, AdManager, Skai (Kenshoo),,,,,,,,,,,,,
"Sure, no worries. I'll try to share a screen. Let me know if you guys can see it. Not sure if I'm sharing the right screen. Which screen can you guys see, is that the SmartCart screen or my desktop?",,,,,,,,,,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,,,,,,
"To be honest, it's quite confusing. I normally would look at it that way. Because we don't have budget allocated for different products, it's just an overall budget. So I normally would not go under the Campaign Manager. I would just look at the reports and see how much we're tracking for the month.",Budget, Performance, Products, Reporting, AdManager,,,,,,,,,,,,,,
"I think they've been live for a long time, at least 12 months.",,,,,,,,,,,,,,,,,,,
"I'll show you what I mean by that. So basically we would have to budget but not by product. So what I mean is that if you look at July, I have a July budget for all the products. So I would go to campaigns, and I'll look at the top (when it loads), I'll look at the top [of the Campaign Report screen]. So I'll just look at these columns [Cost, Spend and ROAS] and make sure that we don't go over budget. So as I mentioned before, I would spend [$]50K per month, so that is fine. ROI is quite good, so 677[%]. And I'll just see how much the bid is. So bid [Cost] is something I'll use. I wouldn't go into every single campaign to look at each of them because we are not tracking towards... we don't have targets towards every single one of them. But as long as my overall [spend amount], is fine and that, that's what I look at. So I would never go to campaign manager [dashboard screen] and look at like these ones unless I need to change again.",Overspending, Budget, Bidding, Campaigns, Reporting, ROAS, Spend, Routine activity, AdManager,,,,,,,,,,
"Yeah, so this one would be an example [Dishwasher campaign with $10k budget with red alert on budget spend] and I some actually, there are. So sometimes I see this one here [notification in the top menu bar]. So one rejecting campaign. One campaign, I nearly reached their spend. I'll try to click on it [the notification alert] and then you show me all of the campaigns [on the Campaign Report screen]. And then I'm still probably confused of what's happening, but it doesn't tell me which campaign it is. Then I go to Campaign Manager and then I would go through this probably, and this one [Dishwasher campaign with red alert on budget spend] obviously has reached 100% [of allocated budget]. I would just go at it and make sure that I give it a bit more budget to play with. Always On. And then I might just change it to [$]15,000, so it doesn't go over. But to answer your question, I think that would be the main thing I look at because that has reached 100% [spend on allocated budget].",Approvals, Budget, Campaigns, Categories, Spend, Spend Limits / Cap-outs, Confusion, Understanding vague, AdManager, Guidance, UI improvements,,,,,,,,
Yeah.,,,,,,,,,,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,,,,,,
"Ok. So, obviously it's like a placement search or aisle category [selected placement]. Most of the time it's search for me. I type in keywords, name it [the campaign] and then, Always On [spend] which is mostly the case. And then I'll select a budget in here just two, either search and aisle and category. And then this one's [retailer category] already pre-elected. I'll go next and then I will just add the product, or I just put in the SKU. And then to add those product.",Business decision, Ad Types, Budget, Campaigns, Catalog (retailer), Categories, Placements, Search terms / Keywords, SKU, Spend, Routine activity,,,,,,,,
Al the time.,,,,,,,,,,,,,,,,,,,
"Yeah, I think because currently I can't see, well, I can see performance but not through this like interface. I think the majority of the time it's more about business priority and more [what products are] selling what's not selling. Like, for example, if we have a new campaign or new product, then obviously, I would add the new SKU's here to make sure our new product is showing. Or some skills that we want to get rid of it or it's not selling, then I will delete it from here. So far, I'm not looking at performance for those particular products. It's more about business priority, which one we need to push?",Business strategy, Data, Optimisation, Performance, Products, SKU, Gap (Product or Service), AdManager, Brand needs,,,,,,,,,,
It's through our internal data [to monitor sales and performance]? So our sales number.,,,,,,,,,,,,,,,,,,,
"Every couple of weeks. Yeah, it's quite random. It's like a marketing team member or SLT, they type in the keywords and they're like, why are we not showing that product? And then they will just send me the SKU [and] I'll add them in. Or sometimes we have like more than five products listing, I'll be like we don't want them to fight for the same keywords. So I just kind of remove some of them and then I'll send the list to internal team members to make sure that we are pushing the right ones. Yeah, but it's more like internal stuff.",Business norm, Operations, Business challenge, Analysis, Date or Time related, Products, Reporting, Search terms / Keywords, SKU, Routine activity,,,,,,,,,
"I'm being fed that from the team member, from the Coles National Account Manager.",Business norm, Data, Insights, Coles,,,,,,,,,,,,,,,
"I do. Not very often. And there are several things. So first of all, it's more like when people search for something and we don't show there and they'd be like, can you add this keyword because it's also important. The other one might be when the keyword is super expensive. Let's say this one [dishwashing tablet] is $5 and we're saying like, $5 for that is not worth it. Imagining if the product is only $10 for example, then I'll just delete that.",Business decision, Campaigns, CPC (Cost Per Click), Optimisation, Products, Search terms / Keywords, Spend,,,,,,,,,,,,
"And then there's another thing which is the search, like the keyword volume that I pull from either Google or other sources. Or something that I think you guys provided me with, which is the keyword volume, overall. And then I will just see if there's any opportunity there and any new keywords. So, yeah, I do look at it quite often.",Analysis, Data, Metrics, Search terms / Keywords, Routine activity, AdManager, Google, Missed opportunity,,,,,,,,,,,
"Yeah. Or, if it's too expensive.",,,,,,,,,,,,,,,,,,,
"Most of the time I put Always On [spend]. And that's because we don't have a limit. Like, we don't have an unlimited budget, but remember like I was showing you the error message [wallet run out of budget], like I don't want to be like we spend over $1000 and it's not running. So I normally pick Always On, unless it's a super like de-prioritised campaign and I don't want to spend a fortune. Then I would almost always pick Always On. And then the maximum cost per click, I would firstly look at these bids, minimum bids. Obviously, we have to go above 1.80 [$1.80 minimum bid amount]. But also, I changed that from time to time looking at what competitors are bidding on. How high or how low we've been ranking and then I'll adjust it accordingly. So obviously, in this case, a lot more than a dollar 80 [$1.80]. It's because the competitors vary, it's bidding quite aggressively. We lost a bit of market share there, so it's a lot higher than this one.",Business decision, Business challenge, Bidding, Budget, Competitor, Preference, Spend, UI, Wallets, Competitor data,,,,,,,,,
